Month,ProductSales
10/3/2019,8259.99
10/4/2019,8205.94
10/5/2019,8151.5
10/6/2019,7988.16
10/7/2019,8245.62
10/8/2019,8228.78
10/9/2019,8595.74
10/10/2019,8586.47
10/11/2019,8321.76
10/12/2019,8336.56
10/13/2019,8321.01
10/14/2019,8374.69
10/15/2019,8205.37
10/16/2019,8047.53
10/17/2019,8103.91
10/18/2019,7973.21
10/19/2019,7988.56
10/20/2019,8222.08
10/21/2019,8243.72
10/22/2019,8078.2
10/23/2019,7514.67
10/24/2019,7493.49
10/25/2019,8660.7
10/26/2019,9244.97
10/27/2019,9551.71
10/28/2019,9256.15
10/29/2019,9427.69
10/30/2019,9205.73
10/31/2019,9199.58
11/1/2019,9261.1
11/2/2019,9324.72
11/3/2019,9235.35
11/4/2019,9412.61
11/5/2019,9342.53
11/6/2019,9360.88
11/7/2019,9242.67
11/8/2019,8842.05
11/9/2019,8818.96
11/10/2019,9052.4
11/11/2019,8765.44
11/12/2019,8777.96
11/13/2019,8806.76
11/14/2019,8708.99
11/15/2019,8500.72
11/16/2019,8533.65
11/17/2019,8695.2
11/18/2019,8284.09
11/19/2019,8187.7
11/20/2019,8048.12
11/21/2019,7610.88
11/22/2019,7366.07
11/23/2019,7341.92
11/24/2019,7090.01
11/25/2019,7159.18
11/26/2019,7190.52
11/27/2019,7581.03
11/28/2019,7654.18
11/29/2019,7770.53
11/30/2019,7528.23
12/1/2019,7389.94
12/2/2019,7317.27
12/3/2019,7344.96
12/4/2019,7453.35
12/5/2019,7448.31
12/6/2019,7547.00
12/7/2019,7556.24
12/8/2019,7564.35
12/9/2019,7400.9
12/10/2019,7278.12
12/11/2019,7217.43
12/12/2019,7243.13
12/13/2019,7269.68
12/14/2019,7124.67
12/15/2019,7152.3
12/16/2019,6932.48
12/17/2019,6640.52
12/18/2019,7276.8
12/19/2019,7202.84
12/20/2019,7218.82
12/21/2019,7191.16
12/22/2019,7511.59
12/23/2019,7355.63
12/24/2019,7322.53
12/25/2019,7275.16
12/26/2019,7238.97
12/27/2019,7290.09
12/28/2019,7317.99
12/29/2019,7422.65
12/30/2019,7293.00
12/31/2019,7193.6
1/1/2020,7200.17
1/2/2020,6985.47
1/3/2020,7344.88
1/4/2020,7410.66
1/5/2020,7411.32
1/6/2020,7769.22
1/7/2020,8163.69
1/8/2020,8079.86
1/9/2020,7879.07
1/10/2020,8166.55
1/11/2020,8037.54
1/12/2020,8192.49
1/13/2020,8144.19
1/14/2020,8827.76
1/15/2020,8807.01
1/16/2020,8723.79
1/17/2020,8929.04
1/18/2020,8942.81
1/19/2020,8706.25
1/20/2020,8657.64
1/21/2020,8745.89
1/22/2020,8680.88
1/23/2020,8406.52
1/24/2020,8445.43
1/25/2020,8367.85
1/26/2020,8596.83
1/27/2020,8909.82
1/28/2020,9358.59
1/29/2020,9316.63
1/30/2020,9508.99
1/31/2020,9350.53
2/1/2020,9392.88
2/2/2020,9344.37
2/3/2020,9293.52
2/4/2020,9180.96
2/5/2020,9613.42
2/6/2020,9729.8
2/7/2020,9795.94
2/8/2020,9865.12
2/9/2020,10116.67
2/10/2020,9856.61
2/11/2020,10208.24
2/12/2020,10326.05
2/13/2020,10214.38
2/14/2020,10312.12
2/15/2020,9889.42
2/16/2020,9934.43
2/17/2020,9690.14
2/18/2020,10142.00
2/19/2020,9633.39
2/20/2020,9608.48
2/21/2020,9686.44
2/22/2020,9663.18
2/23/2020,9924.52
2/24/2020,9650.17
2/25/2020,9341.71
2/26/2020,8820.52
2/27/2020,8784.49
2/28/2020,8672.46
2/29/2020,8599.51
3/1/2020,8562.45
3/2/2020,8869.67
3/3/2020,8787.79
3/4/2020,8755.25
3/5/2020,9078.76
3/6/2020,9122.55
3/7/2020,8909.95
3/8/2020,8108.12
3/9/2020,7923.64
3/10/2020,7909.73
